"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXENV","ENRG","PC_GDP","A","2015",1.0525277198248,"E"
"AUS","TAXENV","ENRG","PC_GDP","A","2016",1.0254604109999,"E"
"AUS","TAXENV","OTH","PC_GDP","A","2015",0.05224141982145,
"AUS","TAXENV","OTH","PC_GDP","A","2016",0.04861163299786,
"AUS","TAXENV","TOT","PC_GDP","A","2015",1.8154205182764,
"AUS","TAXENV","TOT","PC_GDP","A","2016",1.7689759419887,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2015",0.71065142286847,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2016",0.69490389763416,
"AUT","TAXENV","ENRG","PC_GDP","A","2015",1.5142109250023,
"AUT","TAXENV","ENRG","PC_GDP","A","2016",1.4884921289204,
"AUT","TAXENV","OTH","PC_GDP","A","2015",0.02775544014116,
"AUT","TAXENV","OTH","PC_GDP","A","2016",0.02788699347083,
"AUT","TAXENV","TOT","PC_GDP","A","2015",2.7271582790631,
"AUT","TAXENV","TOT","PC_GDP","A","2016",2.7104829427603,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2015",1.1851917977932,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2016",1.194103789601,
"BEL","TAXENV","ENRG","PC_GDP","A","2015",1.2928715822365,"E"
"BEL","TAXENV","ENRG","PC_GDP","A","2016",1.3590474828908,"E"
"BEL","TAXENV","OTH","PC_GDP","A","2015",0.10157500782609,
"BEL","TAXENV","OTH","PC_GDP","A","2016",0.10548135352643,
"BEL","TAXENV","TOT","PC_GDP","A","2015",2.0908294681646,
"BEL","TAXENV","TOT","PC_GDP","A","2016",2.1550260920379,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2015",0.69638277574742,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2016",0.69049721274652,
"CAN","TAXENV","ENRG","PC_GDP","A","2015",0.76437376879928,
"CZE","TAXENV","ENRG","PC_GDP","A","2015",1.8402046896096,
"CZE","TAXENV","ENRG","PC_GDP","A","2016",1.8498290092331,
"CZE","TAXENV","OTH","PC_GDP","A","2015",0.16714925939902,
"CZE","TAXENV","OTH","PC_GDP","A","2016",0.1692930121679,
"CZE","TAXENV","TOT","PC_GDP","A","2015",2.1442243685772,
"CZE","TAXENV","TOT","PC_GDP","A","2016",2.1505455362042,
"CZE","TAXENV","MOTORVEH","PC_GDP","A","2015",0.13687052034035,
"CZE","TAXENV","MOTORVEH","PC_GDP","A","2016",0.13142355239444,
"DNK","TAXENV","ENRG","PC_GDP","A","2015",2.2145287458911,
"DNK","TAXENV","ENRG","PC_GDP","A","2016",2.2077512430871,
"DNK","TAXENV","OTH","PC_GDP","A","2015",0.24462466579425,"E"
"DNK","TAXENV","OTH","PC_GDP","A","2016",0.21506518438989,"E"
"DNK","TAXENV","TOT","PC_GDP","A","2015",4.0068880602779,"E"
"DNK","TAXENV","TOT","PC_GDP","A","2016",4.0001321332574,"E"
"DNK","TAXENV","MOTORVEH","PC_GDP","A","2015",1.5477344632383,
"DNK","TAXENV","MOTORVEH","PC_GDP","A","2016",1.5773156000447,"E"
"FIN","TAXENV","ENRG","PC_GDP","A","2015",1.998530677251,
"FIN","TAXENV","ENRG","PC_GDP","A","2016",2.1175579235399,
"FIN","TAXENV","OTH","PC_GDP","A","2015",0.04284833627918,
"FIN","TAXENV","OTH","PC_GDP","A","2016",0.03663539910823,
"FIN","TAXENV","TOT","PC_GDP","A","2015",2.9230417131292,
"FIN","TAXENV","TOT","PC_GDP","A","2016",3.1189567738172,
"FIN","TAXENV","MOTORVEH","PC_GDP","A","2015",0.88166261436138,
"FIN","TAXENV","MOTORVEH","PC_GDP","A","2016",0.96476328987415,
"FRA","TAXENV","ENRG","PC_GDP","A","2015",1.6667961419975,
"FRA","TAXENV","OTH","PC_GDP","A","2015",0.2983266203937,
"FRA","TAXENV","TOT","PC_GDP","A","2015",2.2031846012949,
"FRA","TAXENV","MOTORVEH","PC_GDP","A","2015",0.23806183249826,
"FRA","TAXENV","MOTORVEH","PC_GDP","A","2016",0.18645841555083,
"DEU","TAXENV","ENRG","PC_GDP","A","2015",1.5853954269258,
"DEU","TAXENV","ENRG","PC_GDP","A","2016",1.5659875674208,
"DEU","TAXENV","OTH","PC_GDP","A","2015",0.01091538501852,
"DEU","TAXENV","OTH","PC_GDP","A","2016",0.01097679482453,
"DEU","TAXENV","TOT","PC_GDP","A","2015",1.9195314615134,
"DEU","TAXENV","TOT","PC_GDP","A","2016",1.8959913579346,
